"UserId","Review Text","Rating","Time","Reviews Count","Followers Count","Photos Count"
"3159595","Staff are just polite and responsive. Food is the best part here. And it is better as ambience also awesome here. I met two persons here named Papiya and Shuvro who are the best at their services. Food items i liked here were Basket biryani and Kodi drum sticks. Finally just loved.",5,"2019-05-18 21:54:23",2,39,0
"765126","I came here with my parents. We ordered for Thai peneer tikka, kaju pulao and veg biryani. The kaju pulao and veg biryani were really good. This is a decent place to go with family. Shubro and papiya served well.",4,"2019-05-18 15:54:37",2,1,0
"113364811","Well we’re new to Hyderabad . And I can for a fact say that it’s probably the best place I’ve eaten a buffet at in Hyderabad period . Especially id like to thank Shurvo and Papiya for their amazing service  . Double metha was just too good . Overall a worthwhile experience ",5,"2019-05-18 15:53:05",1,0,1
"80085251","Wonderful place with awesome ambience, best to visit at night to see all the pretty lights and to enjoy some savory foods. Shubro and Papiya were good with service.",5,"2019-05-18 15:18:20",1,0,0
"41866832","Good ambience and great service.We've had buffet for 25 people.The waiters were patient and we even got noodles replaced since the one served in the buffet went bad.
Shoutout to Shubro and Pradeep ,took care of our entire Afternoon.",4,"2019-05-18 15:06:24",3,1,0
"4532951","My review of the place comes after multiple visits, that have spanned over 4 months. And now I can safely say that it's one of the good places around.
They're located near the Biodiversity signal, above Fabindia. There's ample parking for both two and four wheelers. The ambience is a bit dim after dark, and the seating is divided into various options, including a PDR section.
The menu design is in the shape of a bottle, and the array spans Continental, Chinese and Indian cuisines. Here's the list of things that I have tried, across all my visits
Panko Crumbed Mozzarella Sticks ❤️ - Cheese sticks that are coated and fried. Pure cheese bliss.
Veg Lasagna ❤️ - This place has one of the good Lasagne in the town.
Crispy Chilli Corn Kernels - The usual favourite, this one has a slightly different presentation here.
Makhmali Paneer Tikka -
Cottage Cheese Shashlik Sizzler
Italian Nachos - Nachos topped with red sauce and cheese, and baked in the dish.
Cheese and Cheese Pizza ❤️ - Soft base pizza, loaded with cheese, and a few pieces of green olives.
I cannot stress enough on how I have loved all that I tried here. I have also tried out their lunch buffet. The variety may not be as elaborate as other places, but with the food quality and the discount that they offer for bulk bookings, it is at least a one-time try. But what I really adore here is their mocktails. Beyond Delight is an absolute delight! Also a fan of the Guava and Chilli, and Apple and Kiwi Night drinks.
The staff is ever so courteous. A special mention to Papiya and Shuvro, who were our attendants on the latest visit. The place has Zomato Gold 1+1, which further brings down their reasonable rates. A meal for two would roughly be around 700, that fills not only your tummy, but also you heart! ",4,"2019-05-18 14:53:36",150,2105,9
"44976529","Had lunch today at beyond flavors .The food was very Good and delicious and awesome service was provided by Soumen Das & Shuvro. Would highly recommend the restaurant .",5,"2019-05-18 14:48:41",2,2,0
"33962016","The reason for giving only a 3 star is because of the longlong time wait for the tables. We went on Friday afternoon. We waited almost more than 30mins to get a table. We lost our patience and left for another restaurant as v didn't get a table even aftr waiting for such a long time.I think restaurant management should take this into consideration and try to decrease the waiting time of customer. ",3,"2019-05-18 14:16:12",61,166,0
"42906386","Good food good service..
Good food good service..
Good food good service..
Good food good service..
Good food good service..
Good food good service..
Good food good service..
Good food good service..
Good food good service..
Good food good service..
Good food good service..
Good food good service..
Good food good service.. ",5,"2019-05-18 11:09:46",2,13,0
"75003790","Service is really exceptional. Cheers to Manav, who served us really well. Food was nice too. Loved the ambience too, with nice music playing in the background.",4,"2019-05-17 22:46:28",1,0,0
"51095641","Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!
Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!
Soumen Das waited our table! Thanks buddy for a great service. Will visit soon!",5,"2019-05-17 22:17:55",2,1,0
"84724636","Papiya Shuvro was great. She helped us get the tables quickly and suggested us the best sizzlers in the menu. Ambience was awesome. She suggested the best table and was very helpful till we were there. Will visit again for the awesome service. You guys should try as well if u plan to take your loved one n give an osm experience then this is the place.",5,"2019-05-17 21:12:52",1,0,0
